Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x1603,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644168968,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1603,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644169224,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1604,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1604,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644169480,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1604,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644169736,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1605,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1605,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644169992,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1605,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644170248,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1606,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1606,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644170504,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1606,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644170760,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1607,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1607,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644171016,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1607,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644171272,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1608,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1608,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644171528,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1608,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644171784,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1609,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1609,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644172040,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1609,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644172296,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160a,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160a,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644172552,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160a,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644172808,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160b,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
